letter,thisN,thisTrialN,thisRepN,respp.keys,respp.rt,respp.duration,mainloop.thisRepN,mainloop.thisTrialN,mainloop.thisN,mainloop.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,mainfixation.started,leterrrrrrr.started,respp.started,mainfixation.stopped,leterrrrrrr.stopped,respp.stopped,trial.stopped,mainloop.respp.keys,mainloop.respp.rt,mainloop.respp.duration,thanks_2.started,thankyou.started,end.started,thanks_2.stopped,end.keys,end.rt,end.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
T,39,39,0,None,,,0,39,39,39,80.0043726998847,,,,,,,,,79.99200530000962,80.0043726998847,80.20467299991287,80.20467299991287,80.20467299991287,80.90482579986565,81.70477499999106,81.68846670002677,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
T,40,40,0,space,0.41656080004759133,0.20340360002592206,0,40,40,40,81.70477499999106,,,,,,,,,81.68872879981063,81.70477499999106,81.90420489991084,81.90420489991084,81.90420489991084,82.60371539997868,83.40460229991004,83.38897149986587,space,0.41656080004759133,0.20340360002592206,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
V,41,41,0,None,,,0,41,41,41,83.40460229991004,,,,,,,,,83.3943381998688,83.40460229991004,83.60482499981299,83.60482499981299,83.60482499981299,84.30470329988748,85.10386349982582,85.08907669992186,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
W,42,42,0,None,,,0,42,42,42,85.10386349982582,,,,,,,,,85.0967802000232,85.10386349982582,85.30475170002319,85.30475170002319,85.30475170002319,86.00411039986648,,86.80426470004022,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
Y,43,43,0,None,,,0,43,43,43,86.82060009986162,,,,,,,,,86.80734779988416,86.82060009986162,87.00416309991851,87.00416309991851,87.02089419984259,87.70400479994714,88.50441970000975,88.48822259996086,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
Y,44,44,0,space,0.44967160001397133,0.20005200011655688,0,44,44,44,88.50441970000975,,,,,,,,,88.48849509982392,88.50441970000975,88.7045030000154,88.7045030000154,88.7045030000154,89.40390389994718,90.20462509989738,90.18852899991907,space,0.44967160001397133,0.20005200011655688,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
Z,45,45,0,None,,,0,45,45,45,90.20462509989738,,,,,,,,,90.19236500002444,90.20462509989738,90.40378149994649,90.40378149994649,90.40378149994649,91.1044366999995,91.90414849994704,91.88807019987144,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
B,46,46,0,None,,,0,46,46,46,91.90414849994704,,,,,,,,,91.89159989985637,91.90414849994704,92.10400739987381,92.10400739987381,92.10400739987381,92.8044869999867,93.60427009989507,93.58895999984816,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
D,47,47,0,None,,,0,47,47,47,93.60427009989507,,,,,,,,,93.59153199987486,93.60427009989507,93.80403719982132,93.80403719982132,93.80403719982132,94.50439789984375,95.30340969981626,95.28702099993825,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
D,48,48,0,space,0.5560941000003368,0.1682601000647992,0,48,48,48,95.30340969981626,,,,,,,,,95.28718309989199,95.30340969981626,95.50336860003881,95.50336860003881,95.50336860003881,96.20338039984927,97.00348620000295,96.98719759983942,space,0.5560941000003368,0.1682601000647992,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
F,49,49,0,None,,,0,49,49,49,97.00348620000295,,,,,,,,,96.98928470001556,97.00348620000295,97.20366419991478,97.20366419991478,97.20366419991478,97.90418389998376,98.70345759997144,98.6868194998242,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
G,50,50,0,None,,,0,50,50,50,98.70345759997144,,,,,,,,,98.69093139981851,98.70345759997144,98.90449849981815,98.90449849981815,98.90449849981815,99.61986289988272,100.40436159982346,100.38757879985496,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
G,51,51,0,space,0.6087607000954449,0.18062069988809526,0,51,51,51,100.40436159982346,,,,,,,,,100.38782369997352,100.40436159982346,100.60412689996883,100.60412689996883,100.60412689996883,101.30420119990595,102.10418069991283,102.08810549997725,space,0.6087607000954449,0.18062069988809526,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
H,52,52,0,None,,,0,52,52,52,102.10418069991283,,,,,,,,,102.09143219981343,102.10418069991283,102.30397269991226,102.30397269991226,102.30397269991226,103.00418049981818,103.80372089985758,103.78793119988404,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
J,53,53,0,None,,,0,53,53,53,103.80372089985758,,,,,,,,,103.79052979988046,103.80372089985758,104.00398999988101,104.00398999988101,104.00398999988101,104.70385269983672,105.50377770001069,105.48781109997071,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
K,54,54,0,None,,,0,54,54,54,105.50377770001069,,,,,,,,,105.49090410000645,105.50377770001069,105.70428439998068,105.70428439998068,105.70428439998068,106.40409119985998,107.20420699985698,107.18823620001785,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
K,55,55,0,space,0.6373189999721944,0.17986929998733103,0,55,55,55,107.20420699985698,,,,,,,,,107.18879469996318,107.20420699985698,107.40383600001223,107.40383600001223,107.40383600001223,108.10420880001038,108.90371129987761,108.88780839997344,space,0.6373189999721944,0.17986929998733103,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
M,56,56,0,None,,,0,56,56,56,108.90371129987761,,,,,,,,,108.89134870003909,108.90371129987761,109.10398899996653,109.10398899996653,109.10398899996653,109.80407309997827,110.60383419995196,110.58784539997578,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
N,57,57,0,None,,,0,57,57,57,110.60383419995196,,,,,,,,,110.5905836999882,110.60383419995196,110.80319649982266,110.80319649982266,110.80319649982266,111.50373489991762,112.30397109990008,112.28775579994544,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
N,58,58,0,space,0.4123003000859171,0.1837398000061512,0,58,58,58,112.30397109990008,,,,,,,,,112.28806579997763,112.30397109990008,112.50347499991767,112.50347499991767,112.50347499991767,113.20393339986913,114.00349609996192,113.9884603000246,space,0.4123003000859171,0.1837398000061512,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
P,59,59,0,None,,,0,59,59,59,114.00349609996192,,,,,,,,,113.99339079996571,114.00349609996192,114.20361820003018,114.20361820003018,114.20361820003018,114.90410789987072,115.70385339995846,115.68764439993538,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
R,60,60,0,None,,,0,60,60,60,115.70385339995846,,,,,,,,,115.69061719998717,115.70385339995846,115.90412999992259,115.90412999992259,115.90412999992259,116.6036503999494,117.40372890001163,117.38825919991359,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
R,61,61,0,space,0.6061935001052916,0.1821741999592632,0,61,61,61,117.40372890001163,,,,,,,,,117.38877259986475,117.40372890001163,117.60364959994331,117.60364959994331,117.60364959994331,118.3037611998152,119.10294179990888,119.0878548999317,space,0.6061935001052916,0.1821741999592632,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
S,62,62,0,None,,,0,62,62,62,119.10294179990888,,,,,,,,,119.09290559985675,119.10294179990888,119.3038363000378,119.3038363000378,119.3038363000378,120.00366960000247,120.80361339985393,120.78761839983054,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
T,63,63,0,None,,,0,63,63,63,120.80361339985393,,,,,,,,,120.79051509988494,120.80361339985393,121.00323749985546,121.00323749985546,121.00323749985546,121.70331049989909,122.50380179984495,122.4872113999445,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
V,64,64,0,None,,,0,64,64,64,122.50380179984495,,,,,,,,,122.49051549984142,122.50380179984495,122.70309820002876,122.70309820002876,122.70309820002876,123.40391849982552,124.20290090003982,124.18655729992315,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
V,65,65,0,space,0.39233769988641143,0.19031789992004633,0,65,65,65,124.20290090003982,,,,,,,,,124.18675470002927,124.20290090003982,124.40355719998479,124.40355719998479,124.40355719998479,125.10352430003695,125.90339230000973,125.88729509990662,space,0.39233769988641143,0.19031789992004633,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
X,66,66,0,None,,,0,66,66,66,125.90339230000973,,,,,,,,,125.89145739981905,125.90339230000973,126.10369449993595,126.10369449993595,126.10369449993595,126.80355289997533,127.60367650003172,127.58738609985448,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
Y,67,67,0,None,,,0,67,67,67,127.60367650003172,,,,,,,,,127.59036779985763,127.60367650003172,127.80344399996102,127.80344399996102,127.80344399996102,128.50374099984765,129.3034781999886,129.28761109989136,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
Y,68,68,0,space,0.6357883999589831,0.19071490014903247,0,68,68,68,129.3034781999886,,,,,,,,,129.2878665998578,129.3034781999886,129.50309759983793,129.50309759983793,129.50309759983793,130.20344559988007,131.00337369996123,130.98772919992916,space,0.6357883999589831,0.19071490014903247,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
