thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
141,0,141,[np.float64(0.3907407407407407)],[np.float64(0.4861111111111111)],[1],[0],[0],[1.4361535999923944],['target'],141,0,141,0,186.51581609994173,,5,186.51136799994856,186.51581609994173,186.51581609994173,0.009198700077831745,187.94766349997371,[np.float64(0.3907407407407407)],[np.float64(0.4861111111111111)],[1],[0],[0],[1.4361535999923944],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
142,0,142,[np.float64(0.2657407407407407)],[np.float64(0.412962962962963)],[1],[0],[0],[1.6233623998705298],[None],142,0,142,0,187.96246199985035,,5,187.95761529984884,187.96246199985035,187.96246199985035,0.009748099837452173,189.58112999983132,[np.float64(0.2657407407407407)],[np.float64(0.412962962962963)],[1],[0],[0],[1.6233623998705298],[None],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
143,0,143,[np.float64(-0.1574074074074074)],[np.float64(0.4185185185185185)],[1],[0],[0],[1.0920016998425126],['target'],143,0,143,0,189.59691789979115,,5,189.59208879992366,189.59691789979115,189.59691789979115,0.010734699899330735,190.68418819992803,[np.float64(-0.1574074074074074)],[np.float64(0.4185185185185185)],[1],[0],[0],[1.0920016998425126],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
144,0,144,[np.float64(-0.14444444444444443)],[np.float64(-0.18425925925925926)],[1],[0],[0],[1.1729822000488639],['target'],144,0,144,0,190.69829359999858,,5,190.6935623998288,190.69829359999858,190.69829359999858,0.009209899930283427,191.86663229996338,[np.float64(-0.14444444444444443)],[np.float64(-0.18425925925925926)],[1],[0],[0],[1.1729822000488639],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
145,0,145,[np.float64(-0.012037037037037037)],[np.float64(0.3990740740740741)],[1],[0],[0],[1.3343718000687659],['target'],145,0,145,0,191.890653999988,,10,191.88355619995855,191.890653999988,191.890653999988,0.016762600047513843,193.2180226999335,[np.float64(-0.012037037037037037)],[np.float64(0.3990740740740741)],[1],[0],[0],[1.3343718000687659],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
146,0,146,[np.float64(-0.049074074074074076)],[np.float64(-0.06481481481481481)],[1],[0],[0],[1.6495436998084188],['target'],146,0,146,0,193.2418353999965,,10,193.2353774998337,193.2418353999965,193.2418353999965,0.017161399824544787,194.88503589993343,[np.float64(-0.049074074074074076)],[np.float64(-0.06481481481481481)],[1],[0],[0],[1.6495436998084188],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
147,0,147,[np.float64(0.03981481481481482)],[np.float64(-0.21851851851851853)],[1],[0],[0],[1.1741865000221878],['target'],147,0,147,0,194.8997312998399,,5,194.895029499894,194.8997312998399,194.8997312998399,0.009774099802598357,196.0693279998377,[np.float64(0.03981481481481482)],[np.float64(-0.21851851851851853)],[1],[0],[0],[1.1741865000221878],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
148,0,148,[np.float64(-0.4166666666666667)],[np.float64(0.43796296296296294)],[1],[0],[0],[1.3185756001621485],[None],148,0,148,0,196.08359449985437,,5,196.07919179997407,196.08359449985437,196.08359449985437,0.009689099853858352,197.39794809999876,[np.float64(-0.4166666666666667)],[np.float64(0.43796296296296294)],[1],[0],[0],[1.3185756001621485],[None],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
149,0,149,[np.float64(0.40185185185185185)],[np.float64(0.019444444444444445)],[1],[0],[0],[1.4863942000083625],['target'],149,0,149,0,197.41674409992993,,5,197.41144549986348,197.41674409992993,197.41674409992993,0.012971399817615747,198.89797629998066,[np.float64(0.40185185185185185)],[np.float64(0.019444444444444445)],[1],[0],[0],[1.4863942000083625],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
150,0,150,[np.float64(0.1425925925925926)],[np.float64(-0.4898148148148148)],[1],[0],[0],[1.4099010000936687],['target'],150,0,150,0,198.9126091999933,,5,198.90820709988475,198.9126091999933,198.9126091999933,0.010006000055000186,200.3182050997857,[np.float64(0.1425925925925926)],[np.float64(-0.4898148148148148)],[1],[0],[0],[1.4099010000936687],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
